ID,session_type,type
221104110933061,bilendi,success
220643661536410,bilendi,success
221104110933064,bilendi,screen out
221104111110379,bilendi,success
221003083984125,bilendi,screen out
221104111456296,bilendi,success
221104111159419,bilendi,success
221003084136623,bilendi,success
220555365883082,bilendi,success
221104110958731,bilendi,success
220742896644343,bilendi,screen out
221104110872749,bilendi,screen out
221003084417061,bilendi,success
221104111106275,bilendi,screen out
220555366109283,bilendi,success
221104110854268,bilendi,screen out
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
220742897547305,bilendi,success
221104111119366,bilendi,success
221104110829625,bilendi,screen out
221104111534086,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
221003084441671,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
220390340259068,bilendi,success
221104111050837,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
221104111457327,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
221104111109352,bilendi,screen out
,bilendi,success
221104110944358,bilendi,success
221104111525077,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
221104111497300,bilendi,screen out
,bilendi,success
,bilendi,success
,bilendi,success
221104110958734,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
221104111302701,bilendi,success
219941494911165,bilendi,success
221104111539226,bilendi,screen out
221104111024152,bilendi,success
221104111505550,bilendi,success
221003084384504,bilendi,success
221003085128706,bilendi,success
221104111213795,bilendi,screen out
221104110820386,bilendi,success
219231842456639,bilendi,screen out
220643660866683,bilendi,success
221104110837842,bilendi,success
219498170843174,bilendi,success
220643661491320,bilendi,success
221104111167632,bilendi,success
217376022141076,bilendi,success
221104110956674,bilendi,success
220390340020309,bilendi,screen out
221104110842977,bilendi,screen out
221104110822440,bilendi,screen out
219865024341128,bilendi,success
221104111263858,bilendi,success
221003085183065,bilendi,success
221104111343860,bilendi,success
221104110856319,bilendi,screen out
221003085216964,bilendi,success
221104111473823,bilendi,success
221104111003890,bilendi,screen out
219231841824922,bilendi,success
221104110820384,bilendi,success
220027857216714,bilendi,success
220390340455561,bilendi,success
220390340455561,bilendi,screen out
220643662954544,bilendi,success
221003084288126,bilendi,success
221104110859397,bilendi,success
221003084114064,bilendi,success
221104110852216,bilendi,screen out
220742896447495,bilendi,success
221104111507609,bilendi,success
221003084055626,bilendi,success
221104110941280,bilendi,success
220742896733269,bilendi,success
221104110921777,bilendi,success
221104110904334,bilendi,success
219941494341857,bilendi,screen out
219781279394934,bilendi,success
219324279012511,bilendi,screen out
221104111318125,bilendi,success
221104111318125,bilendi,screen out
220742897014927,bilendi,screen out
220742897766411,bilendi,screen out
220116438394910,bilendi,success
221104111091893,bilendi,success
221104110878910,bilendi,success
221003084392449,bilendi,success
220643661589699,bilendi,screen out
219781279295618,bilendi,success
221003084407826,bilendi,success
221104110935115,bilendi,success
219865024789568,bilendi,success
220555366305020,bilendi,screen out
221104111073420,bilendi,success
221104111535120,bilendi,screen out
221104110825518,bilendi,success
220390340261891,bilendi,success
221003085105291,bilendi,screen out
220742896577708,bilendi,success
219411745616949,bilendi,screen out
221104110939225,bilendi,screen out
219865024458830,bilendi,success
220742896545919,bilendi,success
220555366117481,bilendi,success
219865024548984,bilendi,success
220643661206668,bilendi,success
221104110983372,bilendi,success
221104111193274,bilendi,success
221104111496254,bilendi,screen out
219941494983900,bilendi,success
221003085220047,bilendi,screen out
219324279096375,bilendi,success
221104111198407,bilendi,screen out
219498171003917,bilendi,success
221104110933062,bilendi,screen out
221104111195331,bilendi,success
221104110862483,bilendi,screen out
221104111537171,bilendi,screen out
220390339973143,bilendi,screen out
221104111478966,bilendi,success
217376022780071,bilendi,screen out
221104111539228,bilendi,success
221104111485167,bilendi,success
220027857603650,bilendi,success
219324279148728,bilendi,success
221104110966954,bilendi,success
219865024682199,bilendi,screen out
221003084272746,bilendi,success
221104111495223,bilendi,success
219231842919517,bilendi,success
221003084318889,bilendi,success
221003084185832,bilendi,success
220555366980661,bilendi,success
221104111464561,bilendi,screen out
220555365829747,bilendi,success
221003084187882,bilendi,success
221104111134772,bilendi,screen out
221104111200460,bilendi,success
220116438038643,bilendi,success
221104110982343,bilendi,success
221104111527144,bilendi,screen out
219781279432927,bilendi,success
221104111540260,bilendi,success
220555366405196,bilendi,success
220390340261892,bilendi,success
221104110958729,bilendi,success
219941494828258,bilendi,screen out
220742896450570,bilendi,success
219141333033063,bilendi,screen out
219941494538284,bilendi,screen out
219324278993032,bilendi,screen out
221003084303509,bilendi,success
219781279583254,bilendi,success
219153875784772,bilendi,screen out
221104111410425,bilendi,screen out
221003084124322,bilendi,screen out
220116438009943,bilendi,screen out
220742897754290,bilendi,success
220643663340635,bilendi,screen out
221104111067257,bilendi,success
221104111517894,bilendi,screen out
221104111498334,bilendi,success
220742897757380,bilendi,screen out
221003085134884,bilendi,screen out
217376022929613,bilendi,screen out
217376022929613,bilendi,screen out
219153876092081,bilendi,success
219498171412490,bilendi,success
219941494223898,bilendi,success
219941494223898,bilendi,screen out
219324279322688,bilendi,success
220555367920722,bilendi,success
220555366229183,bilendi,screen out
221003084282998,bilendi,success
220643661396012,bilendi,success
220555366201516,bilendi,screen out
219498171398330,bilendi,success
220027857584152,bilendi,success
221104110904336,bilendi,success
221104111051863,bilendi,success
221003084391424,bilendi,success
221104110983370,bilendi,success
220742896703537,bilendi,success
221003085133850,bilendi,screen out
221104110963869,bilendi,success
219781279688745,bilendi,success
221104110943333,bilendi,success
220116438965440,bilendi,screen out
220555367873737,bilendi,success
220116437781590,bilendi,success
219941494308012,bilendi,screen out
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
219781279683598,bilendi,screen out
221104111240234,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
220555366665252,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
220116438495393,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
,bilendi,success
219231842684025,bilendi,success
220116438898901,bilendi,success
221003085111471,bilendi,screen out
221104111285472,bilendi,success
219865024601342,bilendi,success
219324279144623,bilendi,screen out
220742896459801,bilendi,success
219324279405662,bilendi,screen out
220390339887270,bilendi,success
221104111273112,bilendi,screen out
221104111133746,bilendi,success
221003084602414,bilendi,success
219865024501975,bilendi,success
220643661249715,bilendi,success
219411745761346,bilendi,screen out
219498170807514,bilendi,success
221104111260773,bilendi,screen out
219941494391887,bilendi,success
220390339933411,bilendi,success
221003085111470,bilendi,screen out
221104110999783,bilendi,success
221003085196410,bilendi,success
221003084788872,bilendi,success
220027857472588,bilendi,success
219411744624762,bilendi,success
219941494950074,bilendi,success
220742896567452,bilendi,success
221104110923827,bilendi,success
220555367771391,bilendi,screen out
219231842998303,bilendi,success
219231842555069,bilendi,screen out
219141332198506,bilendi,success
220742897238227,bilendi,success
220555366090837,bilendi,success
220116437942273,bilendi,success
221271478117510,bilendi,screen out
221271476482073,bilendi,success
220643660945595,bilendi,success
221271475178744,bilendi,success
221271473742867,bilendi,success
221271476222204,bilendi,success
221271474380875,bilendi,success
221271475188743,bilendi,screen out
221271473862809,bilendi,screen out
221271473846395,bilendi,screen out
221104111513783,bilendi,screen out
221271477932087,bilendi,success
221271476513850,bilendi,success
221271478082601,bilendi,success
221271474362402,bilendi,success
221104111009792,bilendi,success
220390340705409,bilendi,screen out
221271477975155,bilendi,screen out
221271477975155,bilendi,screen out
221271477975155,bilendi,screen out
221271475124399,bilendi,success
221271477975155,bilendi,screen out
221271478026416,bilendi,screen out
221271476651018,bilendi,success
221271478026416,bilendi,screen out
221271476706358,bilendi,success
221271474412678,bilendi,success
221271477903382,bilendi,success
221271476413627,bilendi,screen out
219231842768902,bilendi,success
220027857084424,bilendi,success
221271474040060,bilendi,screen out
221271473741842,bilendi,success
221271477998736,bilendi,success
220643661276363,bilendi,success
221271474388046,bilendi,screen out
221271474393178,bilendi,screen out
221271474361377,bilendi,screen out
221271473820757,bilendi,success
221271473582232,bilendi,success
219231843207207,bilendi,success
221104110899454,bilendi,success
221271474562086,bilendi,screen out
221003085214900,bilendi,screen out
221003085043849,bilendi,screen out
220555367879894,bilendi,screen out
221003084629084,bilendi,success
221271474404465,bilendi,success
221271474792589,bilendi,screen out
220027857001593,bilendi,success
221271474382924,bilendi,success
221271473846396,bilendi,success
221271473821783,bilendi,success
221271478039749,bilendi,success
221271473784887,bilendi,screen out
221271473832037,bilendi,success
221271474871464,bilendi,success
221271476653073,bilendi,screen out
220390340361357,bilendi,success
