ID,session_type,type
221706088704172,bilendi,success
220643660890256,bilendi,success
223476739177506,bilendi,success
223476739020022,bilendi,success
223476738953342,bilendi,success
223476739007705,bilendi,success
223476739594272,bilendi,success
223476739523702,bilendi,screen out
223043240706232,bilendi,success
221360435094701,bilendi,screen out
223476738946163,bilendi,success
223476738959496,bilendi,screen out
223476739371063,bilendi,screen out
223476739277038,bilendi,success
223043240553477,bilendi,success
223149928380595,bilendi,success
223476739039247,bilendi,success
223476738955393,bilendi,success
223476739109020,bilendi,success
223476738848928,bilendi,success
223476738997444,bilendi,screen out
222442138336477,bilendi,success
223476739200067,bilendi,screen out
223476739552332,bilendi,success
223476739218534,bilendi,success
223476739050536,bilendi,screen out
223476739597379,bilendi,success
223476739250347,bilendi,success
223476739593246,bilendi,success
223476739291168,bilendi,success
223476738909232,bilendi,success
223476739106967,bilendi,success
223476739297328,bilendi,success
223043240391889,bilendi,success
223476738993343,bilendi,success
223476739014890,bilendi,screen out
223476738965651,bilendi,screen out
223476739035143,bilendi,success
223476739011813,bilendi,success
223476738932829,bilendi,success
223476738970783,bilendi,success
221623447549953,bilendi,screen out
223476738947188,bilendi,success
223476738916413,bilendi,success
223476739343581,bilendi,success
221896563673293,bilendi,screen out
223476738880764,bilendi,screen out
223476739064898,bilendi,screen out
223476739464341,bilendi,success
223476739097736,bilendi,screen out
223476739158023,bilendi,success
220555367904285,bilendi,screen out
223476738932829,bilendi,success
223476739194940,bilendi,success
223149928096846,bilendi,screen out
223476739159051,bilendi,screen out
222526710641679,bilendi,success
223476739183657,bilendi,success
223476738898973,bilendi,success
221706088016101,bilendi,success
221104110945390,bilendi,success
223476738882561,bilendi,screen out
223476739607798,bilendi,success
223476739292195,bilendi,success
223476739428355,bilendi,success
223476738932829,bilendi,success
222526710632607,bilendi,success
220390340648138,bilendi,success
223476739486799,bilendi,success
223476738923595,bilendi,success
223476739007706,bilendi,screen out
220027857025185,bilendi,screen out
223149928015901,bilendi,success
223476739557520,bilendi,success
223476739112096,bilendi,screen out
221623447545076,bilendi,screen out
223476739223662,bilendi,success
223476739291170,bilendi,success
223476739596343,bilendi,success
221991803610327,bilendi,success
223476739369007,bilendi,success
223476739221611,bilendi,screen out
223149928416329,bilendi,success
223476739011812,bilendi,success
220027857489006,bilendi,screen out
223149928315088,bilendi,screen out
223476738991293,bilendi,success
219411744716013,bilendi,screen out
223476739397774,bilendi,success
223476739022072,bilendi,screen out
223149928035427,bilendi,success
222442138587213,bilendi,success
223476739446860,bilendi,success
223149928049817,bilendi,success
223043240295605,bilendi,success
219324279555282,bilendi,success
219141332326655,bilendi,screen out
223476739070029,bilendi,success
221896563896344,bilendi,success
223476739344606,bilendi,screen out
223476738881789,bilendi,success
223476739277034,bilendi,screen out
223476739372090,bilendi,success
223476739224687,bilendi,success
219231841968169,bilendi,success
223476738943088,bilendi,screen out
223476739205192,bilendi,success
221104111035442,bilendi,screen out
223476739055666,bilendi,success
223476739051562,bilendi,success
223476739115175,bilendi,screen out
221896563710024,bilendi,success
223476739103891,bilendi,success
223476738931800,bilendi,success
223476739133648,bilendi,screen out
219865024329826,bilendi,success
220555367901202,bilendi,success
223476738856121,bilendi,success
220555367901202,bilendi,success
222351344863387,bilendi,success
222351344706586,bilendi,success
223476738848930,bilendi,success
223476738886665,bilendi,screen out
220555367901202,bilendi,success
220643660941496,bilendi,success
223476739343579,bilendi,success
220116437695727,bilendi,success
223476738853038,bilendi,success
223476738865368,bilendi,success
221706087890944,bilendi,success
219781279439086,bilendi,screen out
221271474026739,bilendi,screen out
223476739205194,bilendi,success
223149928031314,bilendi,success
223476738865365,bilendi,success
222264689100004,bilendi,success
223476739385437,bilendi,success
223476739473606,bilendi,success
223476738853039,bilendi,screen out
219411745696821,bilendi,success
223476739176478,bilendi,success
223476739385437,bilendi,success
223476739232893,bilendi,success
220390340220079,bilendi,success
220555365677174,bilendi,success
223476739509457,bilendi,success
223476739016942,bilendi,screen out
222442138372134,bilendi,success
223476739518535,bilendi,screen out
222526710743059,bilendi,success
222526710666321,bilendi,screen out
221271473613997,bilendi,success
223476739158022,bilendi,success
223149928449184,bilendi,success
221706088246458,bilendi,screen out
223476739347691,bilendi,success
223149928323320,bilendi,success
223476739607788,bilendi,screen out
223476739113123,bilendi,screen out
219865024257190,bilendi,success
223476739602586,bilendi,success
223476739597384,bilendi,success
223476739128517,bilendi,success
223476738856122,bilendi,success
221360432148532,bilendi,success
223476739099788,bilendi,success
222526710634680,bilendi,success
219411744992324,bilendi,screen out
217376022548674,bilendi,success
222442138440922,bilendi,screen out
220116437478644,bilendi,success
223476739024123,bilendi,success
223043240713251,bilendi,screen out
223043240389838,bilendi,screen out
223043240225022,bilendi,success
223043240695838,bilendi,success
223476738984113,bilendi,success
221003084351709,bilendi,success
222264688964816,bilendi,screen out
223476738859207,bilendi,success
223476739330204,bilendi,success
223476739491963,bilendi,screen out
221360434045100,bilendi,screen out
223476739083370,bilendi,screen out
223476739564545,bilendi,success
223476738917441,bilendi,success
220027857184924,bilendi,screen out
220116438966466,bilendi,screen out
223476738949239,bilendi,success
220027857184924,bilendi,screen out
223476739087475,bilendi,screen out
223476739211353,bilendi,screen out
223476738920516,bilendi,success
223476739052588,bilendi,success
223476739602585,bilendi,success
219865024633988,bilendi,success
223476739574891,bilendi,success
220116438483088,bilendi,success
223476738854065,bilendi,screen out
223476739243155,bilendi,screen out
219324279326801,bilendi,success
223149928371297,bilendi,success
