ID,session_type,type
219231843232998,bilendi,screen out
217376022382663,bilendi,success
221896563622101,bilendi,success
217376022310074,bilendi,success
221360433838221,bilendi,screen out
220390339917004,bilendi,screen out
221271473829987,bilendi,success
220555367653446,bilendi,screen out
221991803471941,bilendi,success
221104111250511,bilendi,screen out
221896563773517,bilendi,screen out
219781279682569,bilendi,success
221991803735246,bilendi,success
221706087998647,bilendi,success
221623447720987,bilendi,success
221104111219957,bilendi,success
221896563783826,bilendi,success
219231841918995,bilendi,success
221896563978298,bilendi,screen out
221991803552897,bilendi,success
221271475134652,bilendi,screen out
221991803767891,bilendi,screen out
221807317215427,bilendi,success
221706088342652,bilendi,success
221623447465034,bilendi,screen out
221991803740181,bilendi,screen out
220742896728145,bilendi,screen out
219781279788243,bilendi,success
221623447519432,bilendi,screen out
221991803492550,bilendi,success
221003084507295,bilendi,success
221003084058707,bilendi,success
221807317286042,bilendi,screen out
221896563639332,bilendi,success
219498170784947,bilendi,screen out
221991803608261,bilendi,success
221896563786929,bilendi,success
219941494957278,bilendi,success
221991803617300,bilendi,success
219231841834151,bilendi,success
220643661050899,bilendi,success
219781279298711,bilendi,screen out
219498170713108,bilendi,success
221706088011995,bilendi,success
219498171001087,bilendi,success
221706088734938,bilendi,screen out
221003084927193,bilendi,success
219941494551617,bilendi,success
221896563640361,bilendi,screen out
221104111392944,bilendi,screen out
221896563955955,bilendi,success
221896563814497,bilendi,screen out
221807317393564,bilendi,screen out
221991803562147,bilendi,screen out
219411745782972,bilendi,success
221706088633448,bilendi,screen out
219231841936414,bilendi,success
221623447377027,bilendi,success
221706087867583,bilendi,success
221623447384204,bilendi,success
221807317172475,bilendi,success
221104110903305,bilendi,success
221271476585654,bilendi,success
221360432402683,bilendi,success
221271473831012,bilendi,success
219324279612537,bilendi,success
221807317198954,bilendi,screen out
222264688951425,bilendi,screen out
222264688922828,bilendi,screen out
221623447589979,bilendi,success
221991803508816,bilendi,screen out
221003085045905,bilendi,success
222264688983137,bilendi,screen out
